,delay,day,duration
1085,60,62,70860
1086,60,62,71580
1087,240,63,33480
1088,120,63,37080
1089,60,63,49920
1090,60,63,53520
1091,60,63,53760
1092,300,63,61680
1093,240,63,62700
1094,300,63,63360
1095,300,63,64080
1096,120,63,67980
1097,60,63,67920
1098,60,63,70860
1099,60,63,71580
1100,60,63,81000
1101,60,64,24600
1102,180,64,35400
1103,60,64,40560
1104,60,64,42600
1105,60,64,56400
1106,60,64,57120
1107,60,64,58560
1108,60,64,75360
1109,60,64,76560
1110,60,64,75000
1111,2040,65,47520
1112,2160,65,48000
1113,2220,65,48660
1114,2340,65,49380
1115,2460,65,50100
1116,360,65,51600
1117,420,65,52260
1118,420,65,52980
1119,480,65,53700
1120,60,65,75300
1121,120,65,83520
1122,120,65,84000
1123,120,65,84720
1124,180,65,720
1125,180,65,1200
1126,60,65,1920
1127,3480,66,74820
1128,3480,66,75540
1129,1740,66,3120
1130,1740,66,3840
1131,4260,66,65400
1132,4380,66,66120
1133,900,66,40860
1134,240,66,41820
1135,2940,66,42540
1136,2940,66,43260
1137,3840,66,44520
1138,120,66,42900
1139,4560,66,46020
1140,4560,66,46740
1141,300,66,46860
1142,5220,66,49500
1143,5160,66,50220
1144,60,66,51780
1145,4500,66,53100
1146,4620,66,53820
1147,900,66,52920
1148,1020,66,53400
1149,1200,66,54060
1150,3540,66,54780
1151,3600,66,55440
1152,780,66,53760
1153,1140,66,54960
1154,1140,66,55440
1155,1200,66,56040
1156,2460,66,56700
1157,2520,66,57420
1158,480,66,57180
1159,1080,66,58560
1160,1200,66,58980
1161,1260,66,59640
1162,2880,66,60360
1163,2880,66,61080
1164,3780,66,63660
1165,3780,66,64380
1166,120,66,66780
1167,4380,66,67560
1168,4380,66,68280
1169,3540,66,71160
1170,3660,66,71880
1171,180,66,75300
1172,300,66,76560
1173,240,66,77040
1174,240,66,77700
1175,2340,66,78420
1176,2340,66,79140
1177,120,66,78900
1178,60,66,80100
1179,1500,66,82140
1180,1380,66,82920
1181,900,66,180
1182,60,67,64020
1183,240,67,27900
1184,240,67,28620
1185,60,67,37380
1186,60,67,39660
1187,60,67,40860
1188,60,67,43260
1189,120,67,43320
1190,540,67,44520
1191,120,67,46860
1192,120,67,48240
1193,540,67,46500
1194,480,67,47700
1195,480,67,48180
1196,420,67,48840
1197,540,67,49500
1198,540,67,50220
1199,300,67,49380
1200,240,67,49860
1201,180,67,50520
1202,60,67,51780
1203,600,67,50100
1204,300,67,51300
1205,240,67,51780
1206,120,67,52440
1207,60,67,53100
1208,60,67,52920
1209,60,67,54060
1210,420,67,53760
1211,180,67,54960
1212,180,67,55440
1213,240,67,56040
1214,240,67,56700
1215,240,67,57420
1216,120,67,56520
1217,60,67,62760
1218,60,67,67560
1219,60,67,68220
1220,60,67,68940
1221,60,67,70440
1222,420,67,83820
1223,540,67,84300
1224,420,67,84960
1225,300,67,85680
1226,60,67,180
1227,1080,68,900
1228,1020,68,1440
1229,960,68,2100
1230,600,68,3120
1231,600,68,3840
1232,180,68,37380
1233,360,68,41160
1234,300,68,41820
1235,180,68,42540
1236,180,68,43260
1237,60,68,44520
1238,540,68,42900
1239,300,68,44100
1240,180,68,44640
1241,60,68,45360
1242,60,68,45720
1243,300,68,46860
1244,60,68,48240
1245,360,68,49380
1246,300,68,49860
1247,180,68,50520
1248,60,68,51780
1249,180,68,51300
1250,240,68,51780
1251,240,68,52440
1252,240,68,53100
1253,240,68,53820
1254,1740,68,51840
1255,1740,68,52260
1256,1560,68,52920
1257,1560,68,53400
1258,1440,68,54060
1259,1320,68,54780
1260,1380,68,55440
1261,420,68,53760
1262,180,68,54960
1263,120,68,55440
1264,120,68,56040
1265,60,68,56700
1266,360,68,56520
1267,300,68,57060
1268,240,68,57720
1269,120,68,59040
1270,60,68,58980
1271,60,68,63660
1272,120,68,68280
1273,60,68,67080
1274,120,68,67560
1275,120,68,68220
1276,120,68,68940
1277,180,68,75300
1278,120,68,83820
